Index,Offset,HeaderID,Length,Type,Text
0,15,0012,16,StringEntry,"dat\mwaitcur.spr"
1,2F,0013,16,StringEntry,"dat\hwaitcur.spr"
2,50,0016,16,StringEntry,"dat\mdontcur.spr"
3,6A,0017,16,StringEntry,"dat\hdontcur.spr"
4,8B,001A,14,StringEntry,"dat\n-move.spr"
5,A3,001B,14,StringEntry,"dat\h-move.spr"
6,C2,001E,16,StringEntry,"dat\n-attack.spr"
7,DC,001F,16,StringEntry,"dat\h-attack.spr"
8,FD,0022,16,StringEntry,"dat\normcurs.spr"
9,117,0023,16,StringEntry,"dat\hnrmcurs.spr"
10,138,0026,15,StringEntry,"dat\selcurs.spr"
11,151,0027,16,StringEntry,"dat\hselcurs.spr"
12,172,002A,15,StringEntry,"dat\selplus.spr"
13,18B,002B,16,StringEntry,"dat\hselplus.spr"
14,1AC,002E,16,StringEntry,"dat\selminus.spr"
15,1C6,002F,15,StringEntry,"dat\hselmns.spr"
16,1E6,0032,12,StringEntry,"dat\hadd.spr"
17,1FC,0033,12,StringEntry,"dat\madd.spr"
18,219,0036,12,StringEntry,"dat\hsub.spr"
19,22F,0037,12,StringEntry,"dat\msub.spr"
20,24C,003A,13,StringEntry,"dat\hprom.spr"
21,263,003B,13,StringEntry,"dat\mprom.spr"
22,281,003E,12,StringEntry,"dat\type.spr"
23,2A7,0042,13,StringEntry,"dat\selec.spr"
24,2C7,0044,14,StringEntry,"dat\hselec.spr"
25,2EF,0048,13,StringEntry,"dat\selec.spr"
26,30F,004C,16,StringEntry,"dat\ho-selec.spr"
27,330,004F,16,StringEntry,"dat\ragelogo.spr"
28,35A,0053,16,StringEntry,"dat\move-ack.spr"
29,37D,0055,16,StringEntry,"dat\hove-ack.spr"
30,3A7,0059,14,StringEntry,"dat\hpower.spr"
31,3C8,005B,14,StringEntry,"dat\mpower.spr"
32,3E7,005E,15,StringEntry,"dat\hwpower.spr"
33,400,005F,15,StringEntry,"dat\mwpower.spr"
34,420,0062,16,StringEntry,"dat\medmnbut.spr"
35,441,0065,16,StringEntry,"dat\medmnbta.spr"
36,462,0068,16,StringEntry,"dat\bigmnbut.spr"
37,483,006B,16,StringEntry,"dat\bigmnbta.spr"
38,4A4,006E,16,StringEntry,"dat\bigmnbtb.spr"
39,4C5,0071,15,StringEntry,"dat\HUGEBUT.spr"
40,4E5,0074,16,StringEntry,"dat\HUGEBUTa.spr"
41,506,0077,16,StringEntry,"dat\HUGEBUTb.spr"
42,527,007A,15,StringEntry,"dat\titbdmm.spr"
43,547,007D,16,StringEntry,"dat\titbdmma.spr"
44,568,0080,15,StringEntry,"dat\HUGEtit.spr"
45,588,0083,16,StringEntry,"dat\HUGEtita.spr"
46,5A9,0086,14,StringEntry,"dat\chkbox.spr"
47,5C8,0089,15,StringEntry,"dat\chkboxa.spr"
48,5E8,008C,15,StringEntry,"dat\chkbox2.spr"
49,608,008F,16,StringEntry,"dat\chkbox2a.spr"
50,629,0092,15,StringEntry,"dat\chkbox3.spr"
51,649,0095,16,StringEntry,"dat\chkbox3a.spr"
52,66A,0098,15,StringEntry,"dat\slimbut.spr"
53,68A,009B,15,StringEntry,"dat\widebut.spr"
54,6AA,009E,16,StringEntry,"dat\widebuta.spr"
55,6CB,00A1,15,StringEntry,"dat\Hprbut1.spr"
56,6E4,00A2,15,StringEntry,"dat\Mprbut1.spr"
57,704,00A5,16,StringEntry,"dat\Hprbut1a.spr"
58,71E,00A6,16,StringEntry,"dat\Mprbut1a.spr"
59,73F,00A9,15,StringEntry,"dat\Hprbut2.spr"
60,758,00AA,15,StringEntry,"dat\Mprbut2.spr"
61,778,00AD,16,StringEntry,"dat\Hprbut2a.spr"
62,792,00AE,16,StringEntry,"dat\Mprbut2a.spr"
63,7B3,00B1,15,StringEntry,"dat\popbut1.spr"
64,7D3,00B4,15,StringEntry,"dat\popdiv1.spr"
65,7F3,00B7,15,StringEntry,"dat\RBHcncl.spr"
66,80C,00B8,15,StringEntry,"dat\RBMcncl.spr"
67,82C,00BB,15,StringEntry,"dat\RBHmove.spr"
68,845,00BC,15,StringEntry,"dat\RBMmove.spr"
69,865,00BF,15,StringEntry,"dat\RBHattk.spr"
70,87E,00C0,15,StringEntry,"dat\RBMattk.spr"
71,89E,00C3,15,StringEntry,"dat\RBHhalt.spr"
72,8B7,00C4,15,StringEntry,"dat\RBMhalt.spr"
73,8D7,00C7,16,StringEntry,"dat\RBHbuild.spr"
74,8F1,00C8,16,StringEntry,"dat\RBMbuild.spr"
75,912,00CC,15,StringEntry,"dat\RBHsusp.spr"
76,92B,00CD,15,StringEntry,"dat\RBMsusp.spr"
77,94B,00D1,15,StringEntry,"dat\RBHstop.spr"
78,964,00D2,15,StringEntry,"dat\RBMstop.spr"
79,984,00D6,13,StringEntry,"dat\RBHgo.spr"
80,99B,00D7,13,StringEntry,"dat\RBMgo.spr"
81,9B9,00DA,16,StringEntry,"dat\RBHrpair.spr"
82,9D3,00DB,16,StringEntry,"dat\RBMrpair.spr"
83,9F4,00DE,16,StringEntry,"dat\RBMBDust.spr"
84,A15,00E1,16,StringEntry,"dat\RBMSBomb.spr"
85,A36,00E4,16,StringEntry,"dat\RBHSmoke.spr"
86,A50,00E5,16,StringEntry,"dat\RBMSmoke.spr"
87,A71,00E8,15,StringEntry,"dat\RBHcamo.spr"
88,A8A,00E9,15,StringEntry,"dat\RBMcamo.spr"
89,AAA,00EC,16,StringEntry,"dat\RBHRsrch.spr"
90,AC4,00ED,16,StringEntry,"dat\RBMRsrch.spr"
91,AE5,00F0,15,StringEntry,"dat\RBHinfo.spr"
92,AFE,00F1,15,StringEntry,"dat\RBMinfo.spr"
93,B1E,00F4,15,StringEntry,"dat\RBHunit.spr"
94,B37,00F5,15,StringEntry,"dat\RBMunit.spr"
95,B57,00F8,16,StringEntry,"dat\RBHrturn.spr"
96,B71,00F9,16,StringEntry,"dat\RBMrturn.spr"
97,B92,00FC,15,StringEntry,"dat\RBHrtrt.spr"
98,BAB,00FD,15,StringEntry,"dat\RBMrtrt.spr"
99,BCB,0100,16,StringEntry,"dat\RBHVwMap.spr"
100,BE5,0101,16,StringEntry,"dat\RBMVwMap.spr"
101,C06,0104,16,StringEntry,"dat\RBHVwunt.spr"
102,C20,0105,16,StringEntry,"dat\RBMVwunt.spr"
103,C41,0108,16,StringEntry,"dat\RBHVwRes.spr"
104,C5B,0109,16,StringEntry,"dat\RBMVwRes.spr"
105,C7C,010C,16,StringEntry,"dat\RBHVwCon.spr"
106,C96,010D,16,StringEntry,"dat\RBMVwCon.spr"
107,CB7,0110,16,StringEntry,"dat\RBHVwMap.spr"
108,CD1,0111,16,StringEntry,"dat\RBMVwMap.spr"
109,CF2,0114,16,StringEntry,"dat\unit-but.spr"
110,D0C,0115,14,StringEntry,"dat\munits.spr"
111,D2B,0118,15,StringEntry,"dat\res-but.spr"
112,D44,0119,13,StringEntry,"dat\mfact.spr"
113,D62,011C,15,StringEntry,"dat\man-but.spr"
114,D7B,011D,12,StringEntry,"dat\mcog.spr"
115,D98,0120,16,StringEntry,"dat\rese-but.SPR"
116,DB2,0121,16,StringEntry,"dat\MresrchB.SPR"
117,DD3,0125,16,StringEntry,"dat\RBHAbndn.spr"
118,DED,0126,16,StringEntry,"dat\RBMAbndn.spr"
119,E0E,0129,15,StringEntry,"dat\RBHChkn.spr"
120,E27,012A,15,StringEntry,"dat\RBMChkn.spr"
121,E47,012D,15,StringEntry,"dat\RBHRtlt.spr"
122,E60,012E,15,StringEntry,"dat\RBMRtlt.spr"
123,E80,0131,16,StringEntry,"dat\RBHAggro.spr"
124,E9A,0132,16,StringEntry,"dat\RBMAggro.spr"
125,EBB,0135,15,StringEntry,"dat\RBHBsrk.spr"
126,ED4,0136,15,StringEntry,"dat\RBMBsrk.spr"
127,EF4,0139,16,StringEntry,"dat\RBHcnclM.spr"
128,F0E,013A,16,StringEntry,"dat\RBMcnclM.spr"
129,F2F,013D,16,StringEntry,"dat\RBHXplsv.spr"
130,F49,013E,16,StringEntry,"dat\RBMXplsv.spr"
131,F6A,0141,15,StringEntry,"dat\RBHInfl.spr"
132,F83,0142,16,StringEntry,"dat\RBMInflt.spr"
133,FA4,0145,16,StringEntry,"dat\RBHPulse.spr"
134,FBE,0146,16,StringEntry,"dat\RBMPulse.spr"
135,FDF,0149,15,StringEntry,"dat\RBHFrze.spr"
136,FF8,014A,15,StringEntry,"dat\RBMFrze.spr"
137,1018,014D,16,StringEntry,"dat\RBHScare.spr"
138,1032,014E,16,StringEntry,"dat\RBMScare.spr"
139,1053,0151,16,StringEntry,"dat\RBHCtrlB.spr"
140,106D,0152,16,StringEntry,"dat\RBMCtrlB.spr"
141,108E,0155,15,StringEntry,"dat\RBHtnnl.spr"
142,10A7,0156,15,StringEntry,"dat\RBMtnnl.spr"
143,10C7,0159,15,StringEntry,"dat\RBHtnnl.spr"
144,10E0,015A,15,StringEntry,"dat\RBMtnnl.spr"
145,1100,015D,15,StringEntry,"dat\RBHcncl.spr"
146,1119,015E,15,StringEntry,"dat\RBMcncl.spr"
147,1139,0161,15,StringEntry,"dat\RBMscan.spr"
148,1152,0162,15,StringEntry,"dat\RBMscan.spr"
149,1172,0175,14,StringEntry,"dat\caret8.spr"
150,1191,0178,16,StringEntry,"dat\cselecth.spr"
151,11AB,0179,16,StringEntry,"dat\cselectm.spr"
152,11CC,017C,13,StringEntry,"dat\LEGAL.SPR"
153,11EA,017F,16,StringEntry,"dat\SEPIATIT.SPR"
154,120B,0182,14,StringEntry,"dat\GTLOGO.SPR"
155,122A,0185,16,StringEntry,"dat\RAGELOGO.SPR"
156,124B,0188,16,StringEntry,"dat\TITLEFMV.SPR"
157,126C,018B,15,StringEntry,"dat\CREDITS.SPR"
158,128C,018E,15,StringEntry,"dat\topfade.SPR"
159,12AC,0191,15,StringEntry,"dat\botfade.SPR"
160,12CC,0194,16,StringEntry,"dat\crdivide.spr"
161,12ED,0197,14,StringEntry,"dat\gtlogo.SPR"
162,130C,019A,14,StringEntry,"dat\legal1.spr"
163,132B,019D,14,StringEntry,"dat\legal2.SPR"
164,134A,01A0,15,StringEntry,"dat\humanbd.SPR"
165,1363,01A1,14,StringEntry,"dat\martbd.spr"
166,1382,01A4,16,StringEntry,"dat\HUMANFMV.SPR"
167,139C,01A5,16,StringEntry,"dat\MARTNFMV.SPR"
168,13BD,01AC,16,StringEntry,"dat\HU_CALEN.SPR"
169,13D7,01AD,16,StringEntry,"dat\MA_CALEN.SPR"
170,13F8,01B0,15,StringEntry,"dat\HU_TIME.SPR"
171,1411,01B1,16,StringEntry,"dat\ma_world.spr"
172,1432,01B4,15,StringEntry,"dat\ma_spin.spr"
173,144B,01B5,16,StringEntry,"dat\hu_numbr.spr"
174,146C,01B8,16,StringEntry,"dat\hu_num03.spr"
175,148D,01BB,16,StringEntry,"dat\hu_speed.spr"
176,14A7,01BC,16,StringEntry,"dat\ma_speed.spr"
177,14C8,01BF,16,StringEntry,"dat\hu_month.spr"
178,14E9,01C2,16,StringEntry,"dat\hu_am_pm.spr"
179,150A,01C5,16,StringEntry,"dat\hu_twirl.spr"
180,152B,01C8,15,StringEntry,"dat\hu_pend.spr"
181,1544,01C9,14,StringEntry,"dat\ma_goo.spr"
182,1563,01CC,16,StringEntry,"dat\CDRWEDBT.spr"
183,1584,01CF,16,StringEntry,"dat\CDFFWDBT.spr"
184,15A5,01D2,16,StringEntry,"dat\CDSTOPBT.spr"
185,15C6,01D5,16,StringEntry,"dat\CDPLAYBT.spr"
186,15E7,01D8,16,StringEntry,"dat\CDPAUSBT.spr"
187,1608,01DB,16,StringEntry,"dat\CDPREVBT.spr"
188,1629,01DE,16,StringEntry,"dat\CDNEXTBT.spr"
189,164A,01E1,16,StringEntry,"dat\cdbtalph.spr"
190,166B,01E4,13,StringEntry,"dat\cd_hl.spr"
191,1689,01E7,14,StringEntry,"dat\cdhead.spr"
192,16A8,01EA,16,StringEntry,"dat\cdttrAlp.spr"
193,16C9,01ED,16,StringEntry,"dat\cd_trAlp.spr"
194,16EA,01F0,16,StringEntry,"dat\cdbtrAlp.spr"
195,170B,01F3,16,StringEntry,"dat\cd_dtAlp.spr"
196,172C,01F6,16,StringEntry,"dat\cdtmalph.spr"
197,174D,01F9,14,StringEntry,"dat\cd_BD3.spr"
198,1765,01FA,14,StringEntry,"dat\cd_BD6.spr"
199,1784,01FD,14,StringEntry,"dat\cd_BD7.spr"
200,179C,01FE,14,StringEntry,"dat\cd_BD5.spr"
201,17BB,0201,14,StringEntry,"dat\cd_BD2.spr"
202,17D3,0202,14,StringEntry,"dat\cd_BD4.spr"
203,17F2,0205,14,StringEntry,"dat\cd_BD5.spr"
204,180A,0206,14,StringEntry,"dat\cd_BD1.spr"
205,1829,0209,15,StringEntry,"dat\CD_SEP1.spr"
206,1849,020C,14,StringEntry,"dat\HUD-UL.spr"
207,1868,020F,14,StringEntry,"dat\HUD-UM.spr"
208,1887,0212,14,StringEntry,"dat\HUD-UR.spr"
209,18A6,0215,14,StringEntry,"dat\HUD-BL.spr"
210,18C5,0218,14,StringEntry,"dat\HUD-BM.spr"
211,18E4,021B,14,StringEntry,"dat\HUD-BR.spr"
212,1903,0222,16,StringEntry,"dat\HU-CNT24.SPR"
213,191D,0223,16,StringEntry,"dat\MA-CNT24.SPR"
214,193E,0226,16,StringEntry,"dat\HU-CNT32.SPR"
215,1958,0227,16,StringEntry,"dat\MA-CNT32.SPR"
216,1979,022A,16,StringEntry,"dat\HU-CNT48.SPR"
217,1993,022B,16,StringEntry,"dat\MA-CNT48.SPR"
218,19B4,022E,15,StringEntry,"dat\HREPEAT.SPR"
219,19CD,022F,15,StringEntry,"dat\MREPEAT.SPR"
220,19ED,0232,13,StringEntry,"dat\slidr.SPR"
221,1A0B,0235,14,StringEntry,"dat\slidra.SPR"
222,1A2A,0238,15,StringEntry,"dat\hugesld.SPR"
223,1A4A,023B,16,StringEntry,"dat\hugeslda.SPR"
224,1A6B,0244,16,StringEntry,"dat\bigBlack.SPR"
225,1A8C,0247,16,StringEntry,"dat\bigGreen.SPR"
226,1AAD,024A,15,StringEntry,"dat\bigBlue.SPR"
227,1ACD,024D,14,StringEntry,"dat\bigRed.SPR"
228,1AEC,0250,16,StringEntry,"dat\ma_event.SPR"
229,1B06,0251,16,StringEntry,"dat\hu_event.SPR"
230,1B27,0254,15,StringEntry,"dat\ma_scrn.SPR"
231,1B47,0257,16,StringEntry,"dat\ma_buton.SPR"
232,1B61,0258,16,StringEntry,"dat\hu_buton.SPR"
233,1B82,025B,11,StringEntry,"dat\HWM.SPR"
234,1B97,025C,11,StringEntry,"dat\MWM.SPR"
235,1BB3,025F,13,StringEntry,"dat\HWMHI.SPR"
236,1BCA,0260,13,StringEntry,"dat\MWMHI.SPR"
237,1BE8,0263,11,StringEntry,"dat\CHI.SPR"
238,1BFD,0264,11,StringEntry,"dat\CHI.SPR"
239,1C19,0267,15,StringEntry,"dat\hmframe.SPR"
240,1C32,0268,15,StringEntry,"dat\mmframe.SPR"
241,1C52,026B,15,StringEntry,"dat\hmtwirl.SPR"
242,1C72,026E,13,StringEntry,"dat\HMINI.SPR"
243,1C89,026F,13,StringEntry,"dat\MMINI.SPR"
244,1CA7,0272,15,StringEntry,"dat\HSECTOR.SPR"
245,1CC0,0273,15,StringEntry,"dat\MSECTOR.SPR"
246,1CE0,0276,15,StringEntry,"dat\HMINIHI.SPR"
247,1CF9,0277,15,StringEntry,"dat\MMINIHI.SPR"
248,1D19,027A,16,StringEntry,"dat\RES_EXIT.SPR"
249,1D33,027B,15,StringEntry,"dat\MR_EXIT.SPR"
250,1D53,027E,15,StringEntry,"dat\HU_RSCH.SPR"
251,1D6C,027F,15,StringEntry,"dat\MR_RSCH.SPR"
252,1D8C,0282,16,StringEntry,"dat\HU_RSCHT.SPR"
253,1DAD,0285,16,StringEntry,"dat\RES_LAMP.SPR"
254,1DCE,0288,16,StringEntry,"dat\RES_WIRE.SPR"
255,1DEF,028B,16,StringEntry,"dat\r_divide.spr"
256,1E09,028C,14,StringEntry,"dat\mr_tab.spr"
257,1E28,028F,14,StringEntry,"dat\r_fold.spr"
258,1E40,0290,15,StringEntry,"dat\mr_page.spr"
259,1E60,0293,15,StringEntry,"dat\res_det.spr"
260,1E79,0294,15,StringEntry,"dat\mr_page.spr"
261,1E99,0297,15,StringEntry,"dat\tab_top.spr"
262,1EB2,0298,14,StringEntry,"dat\mr_tab.spr"
263,1ED1,029B,15,StringEntry,"dat\pge_top.spr"
264,1EEA,029C,15,StringEntry,"dat\mr_page.spr"
265,1F0A,029F,16,StringEntry,"dat\res_phot.spr"
266,1F24,02A0,16,StringEntry,"dat\mr_photo.spr"
267,1F45,02A3,16,StringEntry,"dat\res_prop.spr"
268,1F5F,02A4,15,StringEntry,"dat\mr_prop.spr"
269,1F7F,02A7,16,StringEntry,"dat\HU_BRIEF.SPR"
270,1F99,02A8,16,StringEntry,"dat\MA_BRIEF.SPR"
271,1FBA,02AB,16,StringEntry,"dat\HU_BRIEF.SPR"
272,1FD4,02AC,16,StringEntry,"dat\MADBRIEF.SPR"
273,1FF5,02AF,15,StringEntry,"dat\HU-MPAD.SPR"
274,200E,02B0,15,StringEntry,"dat\MA-MPAD.SPR"
275,202E,02B4,12,StringEntry,"dat\BAR1.SPR"
276,2044,02B5,12,StringEntry,"dat\BAR1.SPR"
277,2061,02B8,12,StringEntry,"dat\BAR2.SPR"
278,2077,02B9,12,StringEntry,"dat\BAR2.SPR"
279,2094,02BC,12,StringEntry,"dat\BAR3.SPR"
280,20AA,02BD,12,StringEntry,"dat\BAR3.SPR"
281,20C7,02C0,14,StringEntry,"dat\BARind.SPR"
282,20DF,02C1,14,StringEntry,"dat\BARind.SPR"
283,20FE,02C4,16,StringEntry,"dat\bar-base.SPR"
284,2118,02C5,16,StringEntry,"dat\bar-base.SPR"
285,2139,02C8,13,StringEntry,"dat\Steel.SPR"
286,2150,02C9,13,StringEntry,"dat\blood.SPR"
287,216E,02CC,12,StringEntry,"dat\Coal.SPR"
288,2184,02CD,14,StringEntry,"dat\copper.SPR"
289,21A3,02D0,11,StringEntry,"dat\Oil.SPR"
290,21B8,02D1,15,StringEntry,"dat\Helemen.SPR"
291,21D8,02D4,15,StringEntry,"dat\coalind.SPR"
292,21F1,02D5,15,StringEntry,"dat\coalind.SPR"
293,2211,02D8,16,StringEntry,"dat\hbuildb1.SPR"
294,222B,02D9,16,StringEntry,"dat\mbuildb1.SPR"
295,224C,02DC,16,StringEntry,"dat\hbuildb2.SPR"
296,2266,02DD,16,StringEntry,"dat\mbuildb2.SPR"
297,2287,02E0,16,StringEntry,"dat\hpromote.SPR"
298,22A1,02E1,16,StringEntry,"dat\mpromote.SPR"
299,22C2,02E4,13,StringEntry,"dat\hbbup.SPR"
300,22D9,02E5,13,StringEntry,"dat\mbbup.SPR"
301,22F7,02E8,15,StringEntry,"dat\hbbdown.SPR"
302,2310,02E9,15,StringEntry,"dat\mbbdown.SPR"
303,2330,02EC,13,StringEntry,"dat\hbtup.SPR"
304,2347,02ED,13,StringEntry,"dat\mbtup.SPR"
305,2365,02F0,15,StringEntry,"dat\hbtdown.SPR"
306,237E,02F1,15,StringEntry,"dat\mbtdown.SPR"
307,239E,02F4,15,StringEntry,"dat\Hresrch.SPR"
308,23B7,02F5,15,StringEntry,"dat\Mresrch.SPR"
309,23D7,02F8,16,StringEntry,"dat\Hmessage.SPR"
310,23F1,02F9,16,StringEntry,"dat\Mmessage.SPR"
311,2422,0300,14,StringEntry,"dat\mush64.spr"
312,2451,0305,14,StringEntry,"dat\mush80.spr"
313,2480,030A,15,StringEntry,"dat\mush128.spr"
314,24B0,030F,16,StringEntry,"dat\cracks16.spr"
315,24E1,0314,15,StringEntry,"dat\splsh32.spr"
316,2511,0319,16,StringEntry,"dat\crackm24.spr"
317,2542,031E,15,StringEntry,"dat\splsh50.spr"
318,2572,0323,16,StringEntry,"dat\crackl32.spr"
319,25A3,0328,15,StringEntry,"dat\splsh80.spr"
320,25D3,032D,16,StringEntry,"dat\explom40.spr"
321,2604,0332,16,StringEntry,"dat\splsh120.spr"
322,2635,0337,16,StringEntry,"dat\explol50.spr"
323,2666,033C,11,StringEntry,"dat\e01.spr"
324,2692,0341,16,StringEntry,"dat\basicm64.spr"
325,26C3,0346,11,StringEntry,"dat\e01.spr"
326,26EF,034B,16,StringEntry,"dat\basicl80.spr"
327,2720,0350,11,StringEntry,"dat\e01.spr"
328,274C,0355,16,StringEntry,"dat\bscxm128.spr"
329,277D,035A,11,StringEntry,"dat\e01.spr"
330,27A9,035F,16,StringEntry,"dat\bscxl150.spr"
331,27DA,0364,11,StringEntry,"dat\e01.spr"
332,2806,0369,16,StringEntry,"dat\bscxl150.spr"
333,2837,0370,14,StringEntry,"dat\shock1.spr"
334,2866,0375,15,StringEntry,"dat\splsh32.spr"
335,2896,037A,11,StringEntry,"dat\e01.spr"
336,28C2,037F,15,StringEntry,"dat\splsh50.spr"
337,28F2,0384,11,StringEntry,"dat\e01.spr"
338,291E,0389,15,StringEntry,"dat\splsh80.spr"
339,294E,038E,11,StringEntry,"dat\e01.spr"
340,297A,0393,16,StringEntry,"dat\splsh120.spr"
341,29AB,0398,11,StringEntry,"dat\e01.spr"
342,29D7,039D,11,StringEntry,"dat\e01.spr"
343,2A03,03A2,11,StringEntry,"dat\e01.spr"
344,2A2F,03A8,15,StringEntry,"dat\smkws32.spr"
345,2A5F,03AD,15,StringEntry,"dat\smkwl32.spr"
346,2A8F,03B2,13,StringEntry,"dat\dirt1.spr"
347,2ABD,03B7,15,StringEntry,"dat\smkfl32.spr"
348,2AED,03BC,15,StringEntry,"dat\smksh32.spr"
349,2B1D,03C1,15,StringEntry,"dat\smkgs32.spr"
350,2B4D,03C6,14,StringEntry,"dat\ripple.spr"
351,2B7C,03CB,15,StringEntry,"dat\smkwl32.spr"
352,2BAC,03D0,15,StringEntry,"dat\smkwl32.spr"
353,2BDC,03D5,14,StringEntry,"dat\ripple.spr"
354,2C0B,03DA,14,StringEntry,"dat\blackb.spr"
355,2C3A,03DF,14,StringEntry,"dat\blackb.spr"
356,2C69,03E4,14,StringEntry,"dat\blackd.spr"
357,2C98,03E9,15,StringEntry,"dat\BOTTOM2.SPR"
358,2CC8,03EE,14,StringEntry,"dat\ripple.spr"
359,2CF7,03F3,14,StringEntry,"dat\twink1.spr"
360,2D26,03F8,14,StringEntry,"dat\twink2.spr"
361,2D55,03FD,14,StringEntry,"dat\twink3.spr"
362,2D84,0402,16,StringEntry,"dat\TRESTUMP.SPR"
363,2DAC,0406,14,StringEntry,"dat\DIRTAN.SPR"
364,2DD2,040A,15,StringEntry,"dat\project.SPR"
365,2E02,040F,14,StringEntry,"dat\stlamp.spr"
366,2E2A,0413,16,StringEntry,"dat\bld_mark.spr"
367,2E54,0417,14,StringEntry,"dat\tp_exp.spr"
368,2E83,041C,15,StringEntry,"dat\w_froth.spr"
369,2EB3,0421,12,StringEntry,"dat\muck.spr"
370,2EE0,0426,13,StringEntry,"dat\gunk2.spr"
371,2F05,042A,12,StringEntry,"dat\bomb.SPR"
372,2F2B,0430,16,StringEntry,"dat\HEXITARR.SPR"
373,2F4E,0432,16,StringEntry,"dat\MEXITARR.SPR"
374,2F78,0436,16,StringEntry,"dat\sub_mark.spr"
375,2FA2,043A,16,StringEntry,"dat\tun_mark.spr"
376,2FCC,043E,16,StringEntry,"dat\min_mark.spr"
377,2FF6,0442,16,StringEntry,"dat\min_mark.spr"
378,3020,0446,16,StringEntry,"dat\min_mark.spr"
379,304F,044F,15,StringEntry,"dat\gunshot.raw"
380,3076,0453,15,StringEntry,"dat\heatray.raw"
381,309D,0457,15,StringEntry,"dat\harrow1.raw"
382,30BD,0459,15,StringEntry,"dat\marrow1.raw"
383,30E4,045D,15,StringEntry,"dat\harrow2.raw"
384,3104,045F,15,StringEntry,"dat\marrow2.raw"
385,312B,0468,16,StringEntry,"dat\b-shad01.raw"
386,314C,046B,16,StringEntry,"dat\b-shad01.raw"
387,316D,046E,16,StringEntry,"dat\b-shad01.raw"
388,3195,0477,15,StringEntry,"dat\hcntfnt.fnt"
389,31AE,0478,15,StringEntry,"dat\mcntfnt.fnt"
390,31CE,047B,16,StringEntry,"dat\e-f-16-w.fnt"
391,31E8,047C,16,StringEntry,"dat\m-f-16-w.fnt"
392,3209,047F,16,StringEntry,"dat\e-f-16-w.fnt"
393,3223,0480,16,StringEntry,"dat\m-f-16-w.fnt"
394,3244,0483,16,StringEntry,"dat\e-f-4-wh.fnt"
395,325E,0484,15,StringEntry,"dat\m-f-4-w.fnt"
396,327E,0487,15,StringEntry,"dat\e-f-4-w.fnt"
397,3297,0488,15,StringEntry,"dat\m-f-4-w.fnt"
398,32B7,048B,15,StringEntry,"dat\tooltip.fnt"
399,32D0,048C,16,StringEntry,"dat\mtooltip.fnt"
